name,smiles
Aspirin,CC(=O)Oc1ccccc1C(=O)O
Caffeine,Cn1cnc2c1c(=O)n(c(=O)n2C)C
Ibuprofen,CC(C)Cc1ccc(cc1)C(C)C(=O)O
Naproxen,COc1ccc2cc(ccc2c1)C(C)C(=O)O
Acetaminophen,CC(=O)Nc1ccccc1O
Ethanol,CCO
Benzene,c1ccccc1
Glucose,OC[C@H]1OC(O)[C@H](O)[C@@H](O)[C@@H]1O
Warfarin,CC(=O)CC(c1ccccc1)c1c(O)c2ccccc2oc1=O
Metformin,CN(C)C(=N)N=C(N)N
Penicillin G,CC1(C)S[C@@H]2[C@H](NC(=O)Cc3ccccc3)C(=O)N2[C@H]1C(=O)O
Nicotine,CN1CCC[C@H]1c1cccnc1
Diphenhydramine,CN(C)CCOC(c1ccccc1)c1ccccc1
Atorvastatin,CC(C)c1c(C(=O)Nc2ccccc2)c(-c2ccccc2)c(-c2ccc(F)cc2)n1CC[C@@H](O)C[C@@H](O)CC(=O)O
Sulfanilamide,Nc1ccc(cc1)S(N)(=O)=O
Phenol,Oc1ccccc1
