name	rdMW	chMW	rdLogP	chLogP	rdTPSA	chTPSA	rdHAC	chHAC	rdHBD	chHBD	rdHBA	chHBA
methane	16.0430	16.0430	0.6361	-0.0880	0.0000	0.0000	1	1	0	0	0	0
ethane	30.0700	30.0700	1.0262	-0.1760	0.0000	0.0000	2	2	0	0	0	0
propane	44.0970	44.0970	1.4163	-0.3081	0.0000	0.0000	3	3	0	0	0	0
butane	58.1240	58.1240	1.8064	-0.4402	0.0000	0.0000	4	4	0	0	0	0
pentane	72.1510	72.1510	2.1965	-0.5723	0.0000	0.0000	5	5	0	0	0	0
hexane	86.1780	86.1780	2.5866	-0.7044	0.0000	0.0000	6	6	0	0	0	0
cyclohexane	84.1620	84.1620	2.3406	-0.7926	0.0000	0.0000	6	6	0	0	0	0
benzene	78.1140	78.1140	1.6866	0.8646	0.0000	0.0000	6	6	0	0	0	0
toluene	92.1410	92.1410	1.9950	0.7766	0.0000	0.0000	7	7	0	0	0	0
ethylbenzene	106.1680	106.1680	2.2490	0.6445	0.0000	0.0000	8	8	0	0	0	0
styrene	104.1520	104.1520	2.3296	0.5692	0.0000	0.0000	8	8	0	0	0	0
phenol	94.1130	94.1130	1.3922	1.0198	20.2300	20.2300	7	7	1	1	1	1
aniline	93.1290	93.1290	1.2688	0.1323	26.0200	26.0200	7	7	1	1	1	1
naphthalene	128.1740	128.1740	2.8398	1.4410	0.0000	0.0000	10	10	0	0	0	0
anthracene	178.2340	178.2340	3.9930	2.0174	0.0000	0.0000	14	14	0	0	0	0
acetic_acid	60.0520	60.0520	0.0909	0.0074	37.3000	37.3000	4	4	1	1	1	2
ethanol	46.0690	46.0690	-0.0014	-0.0649	20.2300	20.2300	3	3	1	1	1	1
methanol	32.0420	32.0420	-0.3915	0.0672	20.2300	20.2300	2	2	1	1	1	1
acetone	58.0800	58.0800	0.5953	-0.2358	17.0700	17.0700	4	4	0	0	1	1
methylamine	31.0580	31.0580	-0.4251	-0.8203	26.0200	26.0200	2	2	1	1	1	1
pyridine	79.1020	79.1020	1.0816	0.9831	12.8900	12.8900	6	6	0	0	1	1
