id|tags|smiles
1|baseline|c1ccccc1
2|baseline|CC
3|baseline|CCC
4|radius_probe,aromatic_form:pyridine|c1ccncc1
5|radius_probe,kekule_form:pyridine|C1=CC=NC=C1
6|aromatic_form:naphthalene|c1ccc2ccccc2c1
7|kekule_form:naphthalene|C1=CC2=CC=CC=C2C=C1
8|aromatic_form:furan|c1ccoc1
9|kekule_form:furan|C1=CC=CO1
10|aromatic_form:thiophene|c1ccsc1
11|kekule_form:thiophene|C1=CC=CS1
12|disconnected|CC.c1ccccc1
13|disconnected|[Na+].[Cl-].c1ccccc1
14|disconnected,charged_ok|[NH4+].[Cl-]
15|isotope|[13CH4]
16|isotope|[13CH3]C(=O)O
17|isotope|[2H]OC
18|isotope|c1cc([2H])ccc1
19|charged_ok|CC(=O)[O-]
20|charged_ok|C[NH3+]
21|charged_ok|[NH4+]
22|charged_ok|c1ccc(cc1)[N+](=O)[O-]
23|charged_ok|[O-]S(=O)(=O)[O-]
24|charged_kekulize_fail,aromaticity_rfc_kekulize_hardfail|c1ccc[cH+]cc1
25|charged_kekulize_fail,aromaticity_rfc_kekulize_hardfail|c1c[nH+]c[nH]1
26|charged_kekulize_fail,aromaticity_rfc_kekulize_hardfail|c1cc[nH+]cc1
27|charged_kekulize_fail,aromaticity_rfc_kekulize_hardfail|c1cc[o+]cc1
28|charged_kekulize_fail,aromaticity_rfc_kekulize_hardfail|c1cc[te]c1
29|charged_kekulize_fail,aromaticity_rfc_kekulize_hardfail|c1cc[pH]c1
30|stereo_tetrahedral_pair:alanine_L|C[C@H](N)C(=O)O
31|stereo_tetrahedral_pair:alanine_D|C[C@@H](N)C(=O)O
32|stereo_ez_pair:butene_E|C/C=C/C
33|stereo_ez_pair:butene_Z|C/C=C\C
