name	smiles	mw	logp	tpsa	hac	hbd	hba
methane	C	16.0430	0.6361	0.0000	1	0	0
ethane	CC	30.0700	1.0262	0.0000	2	0	0
propane	CCC	44.0970	1.4163	0.0000	3	0	0
butane	CCCC	58.1240	1.8064	0.0000	4	0	0
pentane	CCCCC	72.1510	2.1965	0.0000	5	0	0
hexane	CCCCCC	86.1780	2.5866	0.0000	6	0	0
cyclohexane	C1CCCCC1	84.1620	2.3406	0.0000	6	0	0
benzene	c1ccccc1	78.1140	1.6866	0.0000	6	0	0
toluene	Cc1ccccc1	92.1410	1.9950	0.0000	7	0	0
ethylbenzene	CCc1ccccc1	106.1680	2.2490	0.0000	8	0	0
styrene	C=Cc1ccccc1	104.1520	2.3296	0.0000	8	0	0
phenol	Oc1ccccc1	94.1130	1.3922	20.2300	7	1	1
aniline	Nc1ccccc1	93.1290	1.2688	26.0200	7	1	1
naphthalene	c1ccc2ccccc2c1	128.1740	2.8398	0.0000	10	0	0
anthracene	c1ccc2cc3ccccc3cc2c1	178.2340	3.9930	0.0000	14	0	0
acetic_acid	CC(=O)O	60.0520	0.0909	37.3000	4	1	1
ethanol	CCO	46.0690	-0.0014	20.2300	3	1	1
methanol	CO	32.0420	-0.3915	20.2300	2	1	1
acetone	CC(C)=O	58.0800	0.5953	17.0700	4	0	1
methylamine	CN	31.0580	-0.4251	26.0200	2	1	1
pyridine	c1ccncc1	79.1020	1.0816	12.8900	6	0	1
pyrimidine	c1ccnc(n1)	80.0900	0.4766	25.7800	6	0	2
pyrazine	c1cnccn1	80.0900	0.4766	25.7800	6	0	2
imidazole	c1cnc[nH]1	68.0790	0.4097	28.6800	5	1	1
thiophene	c1ccsc1	84.1430	1.7481	28.2400	5	0	1
furan	c1ccco1	68.0750	1.2796	13.1400	5	0	1
indole	c1ccc2[nH]ccc2c1	117.1510	2.1679	15.7900	9	1	0
benzimidazole	c1ccc2[nH]cnc2c1	118.1390	1.5629	28.6800	9	1	1
purine	c1ncc2[nH]cnc2n1	120.1150	0.3529	54.4600	9	1	3
quinoline	c1ccc2ncccc2c1	129.1620	2.2348	12.8900	10	0	1
isoquinoline	c1ccc2cnccc2c1	129.1620	2.2348	12.8900	10	0	1
pyrrole	c1cc[nH]c1	67.0910	1.0147	15.7900	5	1	0
oxazole	c1cnoc1	69.0630	0.6746	26.0300	5	0	2
thiazole	c1csc(n1)	85.1310	1.1431	41.1300	5	0	2
pyrazole	c1cc[nH]n1	68.0790	0.4097	28.6800	5	1	1
triazole_1H	c1cn[nH]n1	69.0670	-0.1953	41.5700	5	1	2
tetrazole	c1nn[nH]n1	70.0550	-0.8003	54.4600	5	1	3
aspirin	CC(=O)Oc1ccccc1C(=O)O	180.1590	1.3101	63.6000	13	1	3
ibuprofen	CC(C)Cc1ccc(cc1)C(C)C(=O)O	206.2850	3.0732	37.3000	15	1	1
paracetamol	CC(=O)Nc1ccc(O)cc1	151.1650	1.3506	49.3300	11	2	2
caffeine	Cn1cnc2c1c(=O)n(c(=O)n2C)C	194.1940	-1.0293	61.8200	14	0	6
morphine	Oc1ccc2CC3N(CCC4=C3c2c1O4)C	215.2520	2.2235	36.6100	16	1	3
codeine	COc1ccc2CC3N(CCC4=C3c2c1O4)C	229.2790	2.5265	25.6100	17	0	3
warfarin	OC(=O)CCCC(=O)c1ccc(cc1)Cl	226.6590	2.7776	54.3700	15	1	2
lidocaine	CCN(CC)CC(=O)Nc1c(C)cccc1C	234.3430	2.5837	32.3400	17	1	2
diazepam	CN1C(=O)CN=C(c2ccccc2)c3cc(Cl)ccc13	284.7460	3.1538	32.6700	20	0	2
metformin	CN(C)C(=N)NC(=N)N	129.1670	-1.0342	88.9900	9	4	2
atorvastatin	CC(C)c1c(C(=O)Nc2ccccc2F)c(CC[C@@H](O)C[C@@H](O)CC(=O)O)c(-c2ccc(F)cc2)n1-c1ccccc1	576.6400	6.3174	111.7900	42	4	5
methotrexate	CN(Cc1cnc2nc(N)nc(N)c2n1)c1ccc(cc1)C(=O)NC(CCC(=O)O)C(=O)O	454.4470	0.2684	210.5400	33	5	10
sildenafil	CCCc1nn(C)c2c(=O)[nH]c(-c3cc(S(=O)(=O)N4CCN(C)CC4)ccc3OCC)nc12	474.5870	1.6109	121.8000	33	1	8
tamoxifen	CCC(=C(c1ccccc1)c1ccc(OCCN(C)C)cc1)c1ccccc1	371.5240	5.9961	12.4700	28	0	2
propranolol	CC(C)NCC(O)COc1cccc2ccccc12	259.3490	2.5775	41.4900	19	2	3
naproxen	CC(C(=O)O)c1ccc2cc(OC)ccc2c1	230.2630	3.0365	46.5300	17	1	2
indomethacin	CC1=C(CC(=O)O)c2cc(OC)ccc2N1C(=O)c1ccc(Cl)cc1	357.7930	3.9273	68.5300	25	1	4
chlorpromazine	CN(C)CCCN1c2ccccc2Sc3ccc(Cl)cc13	318.8730	4.8944	31.7800	21	0	3
clonazepam	O=C1CN=C(c2ccccc2Cl)c3cc([N+](=O)[O-])ccc13	300.7010	3.2819	72.5700	21	0	4
fluoxetine	CNCC(COc1ccc(cc1)C(F)(F)F)Oc1ccccc1	325.3300	3.7512	30.4900	23	1	3
glycine	NCC(=O)O	75.0670	-0.9703	63.3200	5	2	2
alanine	N[C@@H](C)C(=O)O	89.0940	-0.5818	63.3200	6	2	2
serine	N[C@@H](CO)C(=O)O	105.0930	-1.6094	83.5500	7	3	3
threonine	N[C@@H]([C@@H](O)C)C(=O)O	119.1200	-1.2209	83.5500	8	3	3
valine	N[C@@H](C(C)C)C(=O)O	117.1480	0.0543	63.3200	8	2	2
leucine	N[C@@H](CC(C)C)C(=O)O	131.1750	0.4444	63.3200	9	2	2
phenylalanine	N[C@@H](Cc1ccccc1)C(=O)O	165.1920	0.6410	63.3200	12	2	2
tryptophan	N[C@@H](Cc1c[nH]c2ccccc12)C(=O)O	204.2290	1.1223	79.1100	15	3	2
tyrosine	N[C@@H](Cc1ccc(O)cc1)C(=O)O	181.1910	0.3466	83.5500	13	3	3
histidine	N[C@@H](Cc1c[nH]cn1)C(=O)O	155.1570	-0.6359	92.0000	11	3	3
cysteine	N[C@@H](CS)C(=O)O	121.1610	-0.6719	102.1200	7	3	3
methionine	N[C@@H](CCSC)C(=O)O	149.2150	0.1514	88.6200	9	2	3
lysine	N[C@@H](CCCCN)C(=O)O	146.1900	-0.4727	89.3400	10	3	3
arginine	N[C@@H](CCCNC(=N)N)C(=O)O	174.2040	-1.3384	125.2200	12	5	3
aspartate	N[C@@H](CC(=O)O)C(=O)O	133.1030	-1.1270	100.6200	9	3	3
glutamate	N[C@@H](CCC(=O)O)C(=O)O	147.1300	-0.7369	100.6200	10	3	3
glucose	OC[C@H]1O[C@@H](O)[C@H](O)[C@@H](O)[C@@H]1O	180.1560	-3.2214	110.3800	12	5	6
fructose	OC[C@@H]1O[C@@](O)(CO)[C@@H](O)[C@@H]1O	180.1560	-3.2198	110.3800	12	5	6
ribose	OC[C@H]1O[C@@H](O)[C@H](O)[C@@H]1O	150.1300	-2.5823	90.1500	10	4	5
