name	methane	ethane	propane	butane	pentane	hexane	cyclohexane	benzene	toluene	ethylbenzene	styrene	phenol	aniline	naphthalene	anthracene	acetic_acid	ethanol	methanol	acetone	methylamine	pyridine	pyrimidine	pyrazine	imidazole	thiophene	furan	indole	benzimidazole	purine	quinoline	isoquinoline	pyrrole	oxazole	thiazole	pyrazole	triazole_1H	tetrazole	aspirin	ibuprofen	paracetamol	caffeine	morphine	codeine	warfarin	lidocaine	diazepam	metformin	atorvastatin	methotrexate	sildenafil
methane	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
ethane	0.000000	1.000000	0.200000	0.166667	0.125000	0.125000	0.000000	0.000000	0.083333	0.066667	0.000000	0.000000	0.000000	0.000000	0.000000	0.125000	0.142857	0.250000	0.142857	0.250000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.040000	0.038462	0.047619	0.038462	0.026316	0.025000	0.000000	0.033333	0.025641	0.055556	0.016129	0.016949	0.016129
propane	0.000000	0.200000	1.000000	0.500000	0.375000	0.375000	0.000000	0.000000	0.071429	0.200000	0.000000	0.000000	0.000000	0.000000	0.076923	0.100000	0.428571	0.166667	0.111111	0.166667	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.090909	0.000000	0.000000	0.000000	0.000000	0.000000	0.037037	0.074074	0.043478	0.035714	0.025000	0.023810	0.035714	0.100000	0.024390	0.050000	0.031746	0.033333	0.048387
butane	0.000000	0.166667	0.500000	1.000000	0.500000	0.500000	0.000000	0.000000	0.066667	0.187500	0.000000	0.000000	0.000000	0.000000	0.000000	0.090909	0.375000	0.142857	0.100000	0.142857	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.083333	0.000000	0.000000	0.000000	0.000000	0.000000	0.035714	0.071429	0.041667	0.034483	0.024390	0.023256	0.034483	0.096774	0.023810	0.047619	0.031250	0.032787	0.064516
pentane	0.000000	0.125000	0.375000	0.500000	1.000000	0.750000	0.000000	0.000000	0.058824	0.166667	0.000000	0.000000	0.000000	0.000000	0.000000	0.076923	0.300000	0.111111	0.083333	0.111111	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.071429	0.000000	0.000000	0.000000	0.000000	0.000000	0.033333	0.066667	0.038462	0.032258	0.023256	0.022222	0.066667	0.090909	0.022727	0.043478	0.030303	0.031746	0.062500
hexane	0.000000	0.125000	0.375000	0.500000	0.750000	1.000000	0.000000	0.000000	0.058824	0.166667	0.000000	0.000000	0.000000	0.000000	0.000000	0.076923	0.300000	0.111111	0.083333	0.111111	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.071429	0.000000	0.000000	0.000000	0.000000	0.000000	0.033333	0.066667	0.038462	0.032258	0.023256	0.022222	0.066667	0.090909	0.022727	0.043478	0.030303	0.031746	0.062500
cyclohexane	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.052632	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.025641	0.024390	0.000000	0.000000	0.025000	0.000000	0.000000	0.000000	0.015873
benzene	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.272727	0.214286	0.214286	0.272727	0.272727	0.222222	0.181818	0.111111	0.000000	0.000000	0.000000	0.000000	0.333333	0.200000	0.125000	0.066667	0.222222	0.222222	0.111111	0.100000	0.043478	0.111111	0.111111	0.222222	0.142857	0.066667	0.142857	0.090909	0.066667	0.125000	0.076923	0.045455	0.037037	0.025641	0.024390	0.076923	0.066667	0.078947	0.000000	0.049180	0.033898	0.015873
toluene	0.000000	0.083333	0.071429	0.066667	0.058824	0.058824	0.000000	0.272727	1.000000	0.388889	0.315789	0.375000	0.375000	0.357143	0.312500	0.125000	0.062500	0.076923	0.062500	0.076923	0.176471	0.111111	0.062500	0.043478	0.117647	0.117647	0.217391	0.200000	0.066667	0.217391	0.217391	0.117647	0.090909	0.043478	0.090909	0.052632	0.043478	0.250000	0.161290	0.148148	0.090909	0.090909	0.086957	0.125000	0.176471	0.166667	0.037037	0.107692	0.078125	0.058824
ethylbenzene	0.000000	0.066667	0.200000	0.187500	0.166667	0.166667	0.000000	0.214286	0.388889	1.000000	0.272727	0.315789	0.315789	0.294118	0.263158	0.105263	0.176471	0.062500	0.052632	0.062500	0.150000	0.095238	0.052632	0.038462	0.100000	0.100000	0.192308	0.178571	0.060606	0.192308	0.192308	0.157895	0.080000	0.038462	0.080000	0.045455	0.038462	0.225806	0.218750	0.133333	0.114286	0.085106	0.081633	0.147059	0.194444	0.155556	0.033333	0.119403	0.090909	0.086957
